"","Project","Description_new","Result_Title","Indicator","type_result","Quarter_reported","Status","Modified_Time","ID","count","Type","Description","Project.Lot","Project.Start_Date","Quarter_expected","Was_expected","Element","Sort","Implementor","Country","component","ID_Project","Project_QA"
"11","Colombia Climate Finance Accelerator Follow-Up","In mid-April 2020, the CFA consortium created a short document outlining the steps they see as most appropriate to build on the CFA pilot and grow the pipeline of climate projects in Colombia. So rather than providing the tool itself, the project has provided a document with recommendations on how to construct this tool. Those recommendations include: a strategy for prioritizing sectors and sub-sectors based on emissions mitigation impact; a climate finance landscape mapping exercise to identify relevant providers of finance and technical assistance that could be relevant to the projects CFA is seeking to promote and identify any obvious gaps in provision; creation of a CFA Secretariat to advance the role of private sector actors in achieving the Colombia NDC through creating a pipeline of climate projects and improving access to innovative financing opportunities. ","Assessment tool for project adequacy","Output 3.1. 'Knowledge product developed'","Output","2020 Q2","Approved","25-May-2020 16:57:56","3814659000000449027",1,"In_reported","Prepare a simple tool (exact format to be determined) with the government’s input to support the development of a private sector-led climate project pipeline e.g. a questionnaire to be used by the government to systematically assess the adequacy of a project for blended finance.","Component 1: bilateral programme fund","01-Oct-2019","2020 Q2",TRUE,"Output 3: Knowledge generated and disseminated",3,"The Climate Group (TCG)","Colombia","Component 1: bilateral programme fund","3814659000000044007","Yes"
"12","Colombia Climate Finance Accelerator Follow-Up","A webinar on the context and activities of the CFA Colombia initiative, lessons learned, and which recommendations can be adopted by subnational governments in order to support their climate project objectives was conducted on April 28th, 2020.  Eighteen governments attended the webinar from multiple continents. TCG has already received requests for related projects from members. It also provided additional visibility for the CFA program - many of the attendees are located in countries targeted for the global CFA.
The webinar was important to amplify the education of policymakers regarding the importance of blended finance and the potential role of private finance in achieving their climate goals. It also sparked interest in many governments in how they might run similar processes in their own jurisdictions. This is important to multiply the impact of the CFA Colombia. 	
","Dissemination to the wider Under2 Coalition","Output 3.2. 'Communication product disseminated'","Output","2020 Q2","Approved","25-May-2020 16:58:07","3814659000000449031",1,"In_reported","Disseminate lessons learned and knowledge products from the project to the wider Under 2 Coalition network.","Component 1: bilateral programme fund","01-Oct-2019","2020 Q2",TRUE,"Output 3: Knowledge generated and disseminated",3,"The Climate Group (TCG)","Colombia","Component 1: bilateral programme fund","3814659000000044007","Yes"
"13","The Green Performance Premium: examining historical green asset performance and the contribution of ESG-practices to micro- and macro-economic performance","Following the current research findings (consolidated across three main research papers), the Oxford Sustainable Finance Programme at the University of Oxford and the International Institute of Green Finance at the Central University of Finance and Economics (CUFE) have agreed that they intend to further explore 1) the brown loan effect on bank financial performance and 2) the mechanisms underlying the positive relationships between micro-ESG performance and macro-economic growth.
Further investigation of brown loan effect on finanical risk is equally important for banks and financial institutions to address increased transition risks arising from a borrower’s environmental exposure. The project has already collected brown loan data from Dealogic and bank ESG report, and bank financial performance data from Bankscope for the period 2013-2018. 	

","Partnership between the University of Oxford and CUFE on sustainable finance","Output 4. 'Network created/strenghtened'","Output","2020 Q1","Approved","26-May-2020 11:03:03","3814659000000471015",1,"In_reported","Initiate a new strategic partnership between the University of Oxford and CUFE on sustainable finance that will result in further research collaboration, coordination, network development, and capacity building after the end of the project. This will be relevant to a range of stakeholders in both the UK and China, as well as third countries, including those along the BRI (Belt and Road Initiative). ","Component 1: bilateral programme fund","16-Jan-2019","2020 Q1",TRUE,"Output 4: Networks created and strengthened",4,"University of Oxford	","China","Component 1: bilateral programme fund","3814659000000044239","Yes"
"14","Urban Road Map to improve urban logistics in Mexico City ","Steer developed a roadmap to address existing challenges on urban freight management in Mexico City. The recommendations are focused on how to effectively enhance the management of urban logistics to contribute to improvements in air quality through reduced emissions and congestion within the city.
Building a roadmap that includes a strategy was key as there had been previous efforts in the city to address the challenges of urban logistics, but the result had only been partial programmes or studies that had no results. This study is the baseline for a strategy that could lead to a public policy in the city. 
","Recommendations that address the gaps, a prioritized action plan ","Output 2.1. 'Recommendation proposed for policy/legislation'","Output","2019 Q2","Approved","27-May-2020 10:03:47","3814659000000053036",1,"In_reported","Development of recommendations that address the gaps, a prioritized action plan and the final report of the road map","Component 1: bilateral programme fund","10-Dec-2018","2019 Q2",TRUE,"Output 2: Recommendations proposed",2,"Steer","Mexico","Component 1: bilateral programme fund","3814659000000032135","Yes"
"15","Urban Road Map to improve urban logistics in Mexico City ","Steer held several meetings (bi-weekly) with SEMOVI,  the Economic Development Secretary (SEDECO), the Urban Development and Housing Secretary (SEDUVI), and the Environment secretary (SEDEMA) to request key information and ongoingly present the results of the study. During these meetings, the stakeholders addressed initiatives and potential actions to consider upgrading logistic freight operations in the metropolitan area. Meetings with the private sector were also key for the study. One to one meeting helped for the buy in of the project by key organizations of the logistics sector in Mexico such as: ANTP, CONALOG, ANPACT, CANACAR, AMACARGA.

Engaging the private sector was important because they considered that they had not been considered for decision making before, this represented the first approach between authorities and the private sector in this matter. On the other hand, their involvement was key to provide key inputs for the construction of the roadmap and helped prioritize recommendations in the short, medium, and large term.
As a result of the dissemination of the results of this project, the embassy’s relationship with other donors (IDB and GIZ) has been strengthened ","Network with the CDMX government ","Output 4. 'Network created/strenghtened'","Output","2019 Q2","Approved","27-May-2020 10:07:19","3814659000000053028",1,"In_reported","Meetings and discussion sessions with the Mexico City Government to define objectives, targets and scope of the road map.","Component 1: bilateral programme fund","10-Dec-2018","2019 Q2",TRUE,"Output 4: Networks created and strengthened",4,"Steer","Mexico","Component 1: bilateral programme fund","3814659000000032135","Yes"
"16","Urban Road Map to improve urban logistics in Mexico City ","As a result of the study ‘international good practices in urban logistics’, the recommendations to improve urban logistic and the creation of a strategic network, the government of Mexico City has decided to conduct a pilot project in the Historic Centre in the next months to test the efficacy of the recommendations to improve the urban logistics and consequently reduce congestions and emissions within the city. Moreover, this project has derived in the interest of other parties to work on pilot projects; Steer has been approached by the authority and the private sector to identify how they could design and implement another pilot project to improve freight logistics in the Municipality of Azcapotzalco.","Recommendations agreed by CDMX government ","Int. Out 2. 'Adoption of recommendation for policy/legislation'","Intermediate Outcome","2019 Q2","Approved","27-May-2020 10:08:57","3814659000000287011",1,"In_reported","Policy/plan for urban logistics will identify the needs and generate implementable solutions to reduce emissions and congestion in the city. The recommendation should be agreed by the CDMX city government by May 2019.","Component 1: bilateral programme fund","10-Dec-2018","2019 Q2",TRUE,"Intermediate Outcomes",5,"Steer","Mexico","Component 1: bilateral programme fund","3814659000000032135","Yes"
"17","Urban Road Map to improve urban logistics in Mexico City ","During 2019, due to exceptional poor air quality conditions, SEMOVI gave part of the recommendations given by Steer on how to improve urban freight logistics to the Central Government to consider as part of an emergency strategy to improve the very poor air quality conditions. As a result, some of the recommendations related to the city’s freight strategy were implemented during this contingency. It is expected that the results from the pilot and the implementation during the contingency will be the bases of the development of the freight strategy of the city which will contribute to the reductions of emissions. ","A  long-lasting change in urban logistics ","Outcome 2. 'Recommendation implemented'","Outcome","2019 Q4","Approved","27-May-2020 10:14:44","3814659000000480003",1,"In_reported",NA,NA,NA,"Unexpected",FALSE,"Outcomes",6,"Steer","Mexico","Component 1: bilateral programme fund","3814659000000032135","Yes"
"18","Advancing the UK - China’s Green Finance agenda through disclosure and demand-led capacity building for both financial firms and listed companies","An additional training session in Guangzhou with the project partner China Emissions Exchange Guangzhou (CEEX) took place. 
The session was titled 'Climate Change Risks and Opportunities and Disclosure Seminar, and the topics covered, were among others: 
- Analysis of international climate change risks and opportuinities; 
- Trends and implications of climate change disclosure; and 
- CDP questionnaires. 
The workshop had representatives from companies, financial institutions, and the government. Among others: Guangdong Province Ecological and Climate Change Exchange and Cooperation Office, Guangzhou City Huadu District Finance Bureau, British Consulate-General Guangzhou Energy and Climate Change Policy, Ping An Insurance (Group) Ltd, E-fund Management , Bank of Guangzhou, Guangzhou Agriculture and Commercial Bank, Chuangxing Bank Guangzhou Branch, Da Ye Trust, Guangzhou Huadu Fund Management, China Southern Airlines, Guangzhou Heng Yun General Energy Selling Company, Guangzhou Development Electricity Group
The decision on conducting this additional capacity building activity in Guangzhou came from the fact that Guangzhou is in an advanced stage of environmental disclosure and tackling climate change, and it was necessary to meet market demands for advanced training on the matter in the region. ","Additional training in Guangzhou","Output 1. 'Training of key actors'","Output","2019 Q3","Approved","03-Jun-2020 09:27:36","3814659000000365019",1,"In_reported",NA,NA,NA,"Unexpected",FALSE,"Output 1: Skills enhanced",1,"CDP","China","Component 1: bilateral programme fund","3814659000000044227","Yes"
"19","Advancing the UK - China’s Green Finance agenda through disclosure and demand-led capacity building for both financial firms and listed companies","The modelled data package for GHG emissions data was completed as planned. The goal is that this data will help FIs evaluate the carbon footprint within their portfolio. 
The model was shared with the 6 FIs with which CDP is involved, and during Q1 2020, CDP continued to support them in two additional ways: i) by advancing their own disclosure and ii) providing them with an analysis of the market for investment and other purposes. ","Modelled data package for GHG emissions","Output 3.1. 'Knowledge product developed'","Output","2019 Q3","Approved","03-Jun-2020 09:28:05","3814659000000046027",1,"In_reported","Deliver a modelled data package for GHG emissions for listed utilities companies and CSI 300 index companies for them to evaluate the carbon footprint within their portfolios.  ","Component 1: bilateral programme fund","10-Dec-2018","2019 Q2",TRUE,"Output 3: Knowledge generated and disseminated",3,"CDP","China","Component 1: bilateral programme fund","3814659000000044227","Yes"
"20","Advancing the UK - China’s Green Finance agenda through disclosure and demand-led capacity building for both financial firms and listed companies","A total of 452 stakeholders (for which gender was not recorded) were trained across six workshops delivered in Q1, Q2 and Q3 of 2019. One workshop in Beijing, three in Shanghai, one in Guangzhou, and one in Shenzen. 
The following topics, among others, were covered by these trainings: 
- Environmental information disclosure and requirements from regulators;
- TCFD indicators and ESG rating;
- HK Stock Exchange ESG regulations and Supply Chain Management; and
- CDP questionnaire methodology.
Each workshop had  a duration of one day. 
Some of the organisations who attended the trainings are: Lujiazui Financial City, China Institution of Capital and Financial Markets, Shanghai Zijiang International Trade Company, Huaxi Biotechnology Company, Syntao Consulting Company, Shanghai Chuangyuan Cosmestic Company, Stanley Black & Decker, Inc., ICBC.","Three workshops on TCFD disclosure and ESG investments","Output 1. 'Training of key actors'","Output","2019 Q2","Approved","03-Jun-2020 09:28:27","3814659000000046011",1,"In_reported","Deliver three workshops on TCFD disclosure and ESG investments to a total of 450 decision-makers from both the private and public sector in order to support the improvement of national green finance policies.","Component 1: bilateral programme fund","10-Dec-2018","2019 Q2",TRUE,"Output 1: Skills enhanced",1,"CDP","China","Component 1: bilateral programme fund","3814659000000044227","Yes"
"21","Advancing the UK - China’s Green Finance agenda through disclosure and demand-led capacity building for both financial firms and listed companies","The anthology of 20 in-depth case studies on disclosure practices was completed in Q4 of 2019 and includes both general case studies and detailed analysis of particular ones. 
These studies have the aim of introducing how international FIs report on TCFD-aligned disclosure and how Environmental, Social and Governance (ESG) factors are integrated into each business.
The case studies were developed collaboratively with FIs and listed companies. 
During the first quarter of 2020, the team further refined the case studies compiled in 2019 based on UK FCO’s feedback. 
The main objective of this anthology of case studies is to respond to the large demand from Chinese FIs to learn about global best practices of FIs on climate-related disclosure. ","Anthology of 20 best practice case studies","Output 3.1. 'Knowledge product developed'","Output","2019 Q4","Approved","03-Jun-2020 09:29:53","3814659000000046007",1,"In_reported","Anthology of 20 best practice case studies, based on environmental disclosure and mainstream reports, developed, and shared with Chinese financial institutions and listed companies.","Component 1: bilateral programme fund","10-Dec-2018","2019 Q3",TRUE,"Output 3: Knowledge generated and disseminated",3,"CDP","China","Component 1: bilateral programme fund","3814659000000044227","Yes"
"22","Advancing the UK - China’s Green Finance agenda through disclosure and demand-led capacity building for both financial firms and listed companies","The Guangdong Green Finance Committee launched the Guangdong - Hong Kong - Macao Great Bay Area Environmental Information Disclosure Initiative in Hong Kong on 14 January 2019.  
Five financial institutions signed the initiative on -site, including Guangzhou Bank, Guangzhou Rural Commercial Bank, Chong Hing Bank, Guangzhou Securities, and Daye Trust. 
Around 200 stakeholders attended the launch event. Some key participants were the director of Guangdong Financial Supervisory Authority, Deputy Mayor of Guangzhou, Hong Kong Stock Exchange representative, Deutsche Exchange representative, and the President of China Emission Exchange Guangzhou (CEEX). 
Since the launch of the initiative, activities to deepen engagement with the five FI signatories, as well as seeking new participants, have been undertaken. 
The Great Bay Area has been a pioneer in environmental disclosure and has received a strong support from local government on the matter, that is why the project chose to implement the initiative in the region. 
In the last quarter of 2019, and with the invitation by the British Consulate Guangzhou – General, CDP contributed to the 3rd International Sustainability Conference in Guangdong, where the team shared about Environmental, Social and Governance (ESG) disclosure and development of the TCFD initiative in the Greater Bay Area. The conference had 100+ participants from various industries, which enhanced the engagement of the initiative in the region.","TCFD-aligned environmental disclosure initiative","Output 4. 'Network created/strenghtened'","Output","2019 Q2","Approved","03-Jun-2020 09:34:11","3814659000000046023",1,"In_reported","Launch a TCFD-aligned environmental disclosure initiative in Guangdong. ","Component 1: bilateral programme fund","10-Dec-2018","2019 Q2",TRUE,"Output 4: Networks created and strengthened",4,"CDP","China","Component 1: bilateral programme fund","3814659000000044227","Yes"
"23","Advancing the UK - China’s Green Finance agenda through disclosure and demand-led capacity building for both financial firms and listed companies","Along 2019, a total of 48 listed companies expressed an interest in reporting in alignment with the TCFD, through CDP's 2019 questionnaire. Among those 48 companies, there were 7 financial institutions with a total market capital of about USD 678 billion: 4 banks (Bank of Communication, China Citic Bank, China Construction Bank, Postal Savings Bank of China), 2 insurance companies (Ping An, PICC) and 1 asset manager (Huatai Securities). ","Interest of financial institutions and listed companies to report in alignment with the TCFD framework","Int. Out 1. 'Enhanced action because of training'","Intermediate Outcome","2019 Q4","Approved","03-Jun-2020 09:34:32","3814659000000379104",1,"In_reported","At least four financial institutions and 33 listed companies (20% increase with respect to the initial 28 companies) show an interest on reporting their environmental impact in alignment with the TCFD framework.","Component 1: bilateral programme fund","10-Dec-2018","2019 Q3",TRUE,"Intermediate Outcomes",5,"CDP","China","Component 1: bilateral programme fund","3814659000000044227","Yes"
"24","Advancing the UK - China’s Green Finance agenda through disclosure and demand-led capacity building for both financial firms and listed companies","Some early signs of increased capacity for shifting towards a low carbon economy have been observed. Among the FIs which responded to CDP's questionnaire in 2019, Ping An Insurance Group scored B as a first time responder, which shows that they are advanced in managing climate related issues and have started the transition towards a low carbon economy. The rest of the responding FIs indicated that they are aware of the importance of financed emissions and are developing different tools and analysing available methodologies to make progress on the topic.
Moreover, both Ping An Insurance Company and ICBC have published their Green Finance report in 2019 which was benchmarked against TCFD recommendations. This marked as a milestone to show that Chinese FIs have the capacity to benchmark against international standards and ready for more advanced ESG disclosure.
From the regulators' point of view, the CSRC has made some mandatory requirements for the listed companies to disclose environmental information. By the end of May 2019, almost 20% of the 3600 public listed companies on Chinese stock market were subject to such mandatory requirements. CSRC paid attention to international common practices, especially ESG disclosure requirements, and established the following elements as the focus of future regulation: standardization, progressiveness, prudence, and effectiveness. 
This increased capacity is believed it would further encourage and advance financial institutions and listed companies to transform China's economy into a more sustainable one.","Increased capacity of Chinese regulators and FIs for environmental disclosure","Outcome 1. 'Increased capacity for relevant organisations'","Outcome","2020 Q1","Approved","03-Jun-2020 10:09:43","3814659000000475011",1,"In_reported","Chinese regulator and FIs have the capacity to shift towards a low carbon economy to transform China's economy into a more environmental and sustainable one.","Component 1: bilateral programme fund","10-Dec-2018","Currently unknown",TRUE,"Outcomes",6,"CDP","China","Component 1: bilateral programme fund","3814659000000044227","Yes"
"25","UK-China Green Finance Programme","The UK-China TCFD pilot has supported 13 Chinese financial innovators to move up the curve on climate and environmental disclosure. ","Adoption of TFCD practices","Int. Out 1. 'Enhanced action because of training'","Intermediate Outcome","2020 Q1","Approved","03-Jun-2020 10:16:11","3814659000000477011",1,"In_reported","Key Chinese institutions show an interest in adopting TCFD practices. ","Component 1: bilateral programme fund","20-Dec-2018","Currently unknown",TRUE,"Intermediate Outcomes",5,"City of London","China","Component 1: bilateral programme fund","3814659000000044099","Yes"
"26","UK-China Green Finance Programme","The website for the UK-China Green Finance Centre was made accessible at https://www.greenfinanceinstitute.co.uk/uk-china/ in the second quarter of 2019. The website provides a publicly accessible entry point to UK-China cooperation on green finance, and a key channel for knowledge dissemination. 
However, starting 2020, online communications content for the UK-China Green Finance Centre and UK Green Finance Institute were separated to reflect current governance and facilitate development of operational content. The updated website for the UK-China Green Finance Centre is now https://www.ukchinagreen.org/ 
Since the end of 2019, media engagement with 'the Centre' increased by advertising the UK China Green Finance showcase event which took place on December 10th, 2019. The event received media coverage in the Global Times, China Daily and Xinhua. The European Bank for Reconstruction and Development (EBRD) also wrote a blog post on climate resilience and posted it on the website. ","Website and other communication strategies","Output 3.2. 'Communication product disseminated'","Output","2019 Q2","Approved","03-Jun-2020 12:14:10","3814659000000294011",1,"In_reported","Setup a bilingual website for 'the Centre’ and promote media engagement with the programme. ","Component 1: bilateral programme fund","20-Dec-2018","2019 Q2",TRUE,"Output 3: Knowledge generated and disseminated",3,"City of London","China","Component 1: bilateral programme fund","3814659000000044099","Yes"
